X_component	Y_component	Z_component
11.256771	-3.2155418	0.9343464
-9.0344	-3.5460732	1.4471092
-16.49667	10.33417	4.6645517
0.9677174	7.8015456	13.721641
-14.879361	2.7122757	-5.8368545
0.38118628	-7.0721874	-10.592328
9.291272	1.34891	-0.24824893
-5.9265327	11.279798	-4.389807
4.9054637	2.589886	-13.151184
-6.6910753	-7.33604	15.522411
-5.3456383	-17.956068	-14.589601
-18.12106	8.722802	-2.6874259
12.000378	15.411515	5.143274
-10.898213	0.81872535	0.41836593
14.455677	8.065138	-7.485584
3.912098	8.688622	-4.370519
22.613464	7.9651804	-0.009758122
20.084122	-6.753807	1.109738
14.660806	8.331378	-7.9318786
-2.2945535	5.793187	15.1828375
-14.199756	3.117239	-9.199645
-4.633147	4.736462	-17.388206
14.278924	-2.4681294	3.7881992
15.91241	-14.7951975	-7.601261
8.992989	5.3287354	5.016539
-12.731356	-7.271895	-13.392086
2.939575	0.89613426	11.216367
15.497317	-8.607467	-2.9047
10.3129	10.882884	10.622568
7.270586	-9.174194	-2.7471232
2.4670172	-2.746988	0.31725082
-2.2082424	-14.855775	-1.222638
14.783801	15.865363	2.7758753
7.180566	-13.065763	-0.460658
5.9774303	-5.9157314	21.509417
7.8965716	-2.2254107	18.356983
-6.741981	-7.1613975	16.073128
7.9967327	-12.980831	-9.054607
12.583027	-2.011991	17.72277
1.7452137	3.923419	-18.31219
13.276927	-12.402681	4.4081306
-10.299979	-2.1282742	-18.111994
-20.725523	-5.3745284	5.002613
10.027938	-6.0381856	10.196139
10.324893	4.6097207	-20.858953
-5.592146	-5.702396	7.371999
9.819333	-4.9373007	9.542192
2.173039	-2.551798	0.46465468
14.427037	4.1948104	4.0843496
14.485122	7.8951607	-7.5184746
6.2426977	-13.785711	1.1843915
3.4694917	20.986916	-5.635752
-0.06303066	-19.919146	2.444505
-7.97947	19.397863	-7.25644
-2.7880147	14.836554	-7.0484786
14.375091	7.8826356	-7.378742
-1.8020436	-12.370343	7.962332
-20.649654	-6.8982534	3.6396048
16.863102	-0.36429295	-2.7496367
-1.4992812	11.341773	16.142506
-15.892853	-6.422282	-7.3413258
21.059368	-9.132653	1.835865
1.4816902	1.3007379	21.900812
-8.233088	3.6389627	-19.80223
-21.872469	1.035772	9.653675
-0.7752717	-5.5855036	-0.6185185
-4.116398	-1.5524267	-15.352704
0.19816494	-3.6712341	-12.40412
-7.3208246	-3.698995	1.5280282
-18.4722	4.761077	-14.105617
23.449059	-5.5571394	-4.9103055
11.194556	-5.3873706	11.6146345
8.050237	6.870314	2.075245
10.784265	-9.271919	-7.625157
-0.95305663	6.1203704	18.66894
0.18396573	-6.16671	-20.034142
2.1782346	-2.5555494	0.4631148
-20.649054	-9.368105	3.2165613
-3.3408377	1.6947547	6.96955
8.21611	3.5235193	11.265407
-8.801139	12.861736	13.915568
-15.576474	3.9001312	4.304554
-11.582833	-19.02221	-7.0331554
1.0931908	-4.660729	5.8133855
4.610868	-8.298818	13.745105
20.518223	3.7276084	-10.084801
13.831669	-2.5525506	2.0363514
-1.9846833	2.2321374	6.565092
1.7928473	-5.36886	5.9292955
9.122315	8.984962	9.180831
-8.421688	3.6506844	-19.933437
-1.2631497	-13.521339	-1.185369
-7.5638676	2.472839	-1.3552859
6.545477	-3.817671	3.384786
-5.7606826	-5.0060053	-14.062313
-17.495064	-14.824885	-0.6500545
4.9820404	-9.596727	1.0003657
1.8269367	9.835594	15.063967
-24.969095	-2.1354368	1.7591434
1.3866568	-12.967915	-10.581416
8.990638	-9.606354	-2.519073
14.543704	8.205376	0.23610389
13.31426	-3.5015018	2.5022366
-5.8323793	-5.3701825	-13.874927
-16.277126	-12.686707	2.4342387
-17.116726	8.704775	7.4412556
0.8810587	-5.8085337	-2.6113203
9.913162	2.9364576	11.801541
-5.8306923	11.410842	-4.775368
8.434803	-13.622003	17.14391
-6.06105	-6.797766	14.992349
18.175999	-11.809951	-8.194626
-3.384826	-10.31471	-5.4745984
14.636859	0.52456605	-12.016113
11.393719	-1.0251034	-8.788382
9.196282	0.03719148	7.4381676
-5.5005355	16.605425	-11.89834
-8.232876	-5.459642	18.812447
2.3599796	-20.501556	6.6490116
-3.464414	15.012591	-1.6516644
3.9851763	-8.710589	13.938854
-2.562299	-2.5124958	12.77933
-19.690104	-12.1605215	-8.71773
9.320739	11.793847	9.762497
-5.064383	0.68509775	-9.936857
-20.981483	3.6389024	-4.6647263
-6.316574	-7.41204	6.1622286
3.5668948	16.57885	18.011595
-11.7510195	-18.15648	2.6579263
9.512539	1.2452732	-6.502538
-2.9611516	22.641245	4.621148
-3.1136224	7.5251894	-10.299893
7.605085	-8.796696	-2.5289214
10.541965	-17.656918	10.893848
20.431395	-7.313656	11.581468
-4.486738	13.50519	7.096166
9.412591	2.64879	-2.264756
9.4086895	16.944069	-3.4961398
2.2305596	15.021075	-4.8758945
4.615202	12.666684	-14.273737
-6.584345	18.888565	-5.3245683
4.615835	23.30408	-3.8065193
