X_component	Y_component	Z_component
10.195105	-15.421699	13.421427
-13.914467	-9.414235	-5.193543
13.07075	2.16247	-11.783942
-9.554686	-7.1562433	-15.174174
-1.8234203	21.148981	-7.059399
-3.2351727	-15.230522	-3.839846
7.5123334	-0.2863714	-19.99481
17.089735	3.730811	-7.339569
-7.1754894	-8.432064	-5.899222
-6.3254614	5.5368657	7.5991697
6.585156	-15.747664	6.555815
-3.4044952	20.097364	-9.868053
-2.72212	-9.713919	-9.41655
1.3810481	0.9786244	-4.809745
0.24918295	13.6131525	-2.2669227
2.6217926	-4.933201	18.333414
-14.068904	3.035683	-12.430055
-14.181085	-3.8212235	7.8004646
0.004032442	-8.999933	-16.374226
-7.6883283	0.4874987	-16.328344
17.993185	-5.6150484	0.7218398
1.0825893	-3.7547693	0.42385143
-8.886511	-11.383674	0.010757347
-6.237767	-16.826273	-8.847876
-19.793114	-5.2087126	-2.9753487
9.097317	-3.1737692	12.658232
9.659151	6.6642594	0.076910734
-6.5542192	11.886537	11.221517
15.45387	9.603931	-3.733808
0.29297233	-6.0334296	-0.5430903
2.6877987	0.691456	-0.27409714
-21.315702	10.497772	-1.2659819
7.1442804	-2.6749532	-9.274902
4.7361755	-9.501429	21.413584
17.113907	-8.236803	6.413775
2.4806836	13.288919	-3.2678409
-1.9046024	-21.542149	11.158322
10.011742	-12.40035	-4.396149
-21.361624	0.14050744	-8.41304
-4.788362	-9.396301	-1.4708198
-3.7887986	-5.205842	12.753431
5.3660016	18.181896	10.557372
-3.0949042	18.230711	8.152567
2.5620487	-11.435674	4.7702284
-8.976436	-11.584257	11.311582
13.151793	19.029627	7.369431
-15.34293	-1.6928409	-10.213399
-12.464214	-0.3086035	8.454393
-2.7218127	-9.711522	-9.419605
-12.676519	12.020893	-5.3326693
12.663522	10.723757	15.131091
12.714147	2.282463	13.809455
-8.037973	-9.388415	-4.483161
9.307469	-0.93542165	-3.8990932
-16.457537	2.2148194	-2.8174465
-1.607143	10.276025	6.270523
-9.09095	-20.526993	2.337509
7.7766986	8.982762	6.9707775
10.616981	6.884196	-9.901132
-6.6607876	13.347925	2.9233491
9.895687	-7.6708183	5.8627634
18.762377	5.3394065	4.061802
17.593822	-11.760563	-8.378632
-13.638597	-8.673362	-5.3144236
2.2899919	-7.6683574	9.024297
10.818253	4.596929	-18.650713
1.3536402	2.2224832	-12.746721
-1.9208931	-19.539652	-2.0779653
-8.906659	-6.865572	-13.608747
-9.568826	4.122793	-20.138361
10.045578	6.129392	-0.7437529
-7.503529	8.73157	-0.61624485
17.89771	-13.872274	-9.708843
5.6206374	-18.728386	0.28357744
-10.248369	6.8010945	8.874498
-1.2445965	-21.748169	-3.7157454
0.22757168	-6.3382893	-2.1737843
7.539206	-8.965413	-19.998442
-14.029048	5.1507215	14.215427
-2.6485026	19.781252	0.8818608
-0.87688106	0.09934536	-14.452129
-13.0998745	-9.168508	-5.1716084
-17.368862	3.2201815	-16.720568
7.844434	8.903104	6.9509206
17.538807	-3.164499	-4.812938
-10.983906	-4.0674777	-21.731781
-6.3808436	-5.971015	4.985657
22.51008	-5.555527	8.157884
0.09421401	-19.13442	6.0537934
11.126776	7.5288363	-9.718383
10.176542	3.1139414	-21.168858
-11.311115	10.998791	-3.6457996
-2.4496899	-1.9547367	-11.002973
21.787743	-1.1614742	5.2449617
-17.803284	15.932455	-2.2426732
